lock_name; num_threads; num_turns; num_tests; num_events; mutex_fail_count; fcfs_fail_count; lru_fail_count; thp_runtime; thp; thp_anc; bm_runtime
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0;0;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0;-1
Aravind_fix;2;1000;30;8000;0;1;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;1;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;1;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;1;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;2;1000;30;8000;0;0;0;0.0925761;0.0904385;0.0905482;-1
Aravind_fix;3;680;30;8160;0;0;0;0.0933007;0;0;-1
Aravind_fix;3;680;30;8160;0;1;0;0.0933007;0.0961992;0;-1
Aravind_fix;3;680;30;8160;0;0;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;0;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;0;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;0;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;3;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;1;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;1;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;1;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;1;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;2;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;2;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;4;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;1;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;2;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;5;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;10;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;13;0;0.0933007;0.0961992;0.0930745;-1
Aravind_fix;3;680;30;8160;0;5;0;0.0933007;0.0961992;0.0930745;-1
